hunt_code,residency,points,public_permits_2025,public_permits_2026,public_permits_2026_source,max_point_permits_2025,max_point_permits_2026,random_permits_2025,random_permits_2026,guaranteed_at_2025,guaranteed_at_2026,permit_delta_2025_to_2026,projected_applicants_2026_source,guaranteed_delta_2025_to_2026,applicants_above,applicants_at_level,random_draw_odds_2026,gap,delta_gap,status,trend,draw_outlook
BI6503,Resident,17,4,4,posted_2026,2,2,2,2,29,30,0,projected_2026,1,702,113,0.068,13,0,BEHIND,YELLOW,LONG ODDS
BI6503,Resident,16,4,4,posted_2026,2,2,2,2,29,30,0,projected_2026,1,815,110,0.048,14,0,BEHIND,YELLOW,LONG ODDS
BI6503,Resident,15,4,4,posted_2026,2,2,2,2,29,30,0,projected_2026,1,925,101,0.072,15,0,BEHIND,YELLOW,LONG ODDS
BI6503,Resident,14,4,4,posted_2026,2,2,2,2,29,30,0,projected_2026,1,1026,99,0.068,16,0,BEHIND,YELLOW,LONG ODDS
BI6503,Resident,13,4,4,posted_2026,2,2,2,2,29,30,0,projected_2026,1,1125,127,0.054,17,0,BEHIND,YELLOW,LONG ODDS
BI6503,Resident,12,4,4,posted_2026,2,2,2,2,29,30,0,projected_2026,1,1252,136,0.064,18,0,BEHIND,YELLOW,LONG ODDS
BI6503,Resident,11,4,4,posted_2026,2,2,2,2,29,30,0,projected_2026,1,1388,163,0.058,19,0,BEHIND,YELLOW,LONG ODDS
BI6503,Resident,10,4,4,posted_2026,2,2,2,2,29,30,0,projected_2026,1,1551,194,0.046,20,0,BEHIND,YELLOW,LONG ODDS
BI6503,Resident,9,4,4,posted_2026,2,2,2,2,29,30,0,projected_2026,1,1745,261,0.052,21,0,BEHIND,YELLOW,LONG ODDS
BI6503,Resident,8,4,4,posted_2026,2,2,2,2,29,30,0,projected_2026,1,2006,245,0.032,22,0,BEHIND,YELLOW,LONG ODDS
BI6503,Resident,7,4,4,posted_2026,2,2,2,2,29,30,0,projected_2026,1,2251,288,0.042,23,0,BEHIND,YELLOW,LONG ODDS
BI6503,Resident,6,4,4,posted_2026,2,2,2,2,29,30,0,projected_2026,1,2539,317,0.038,24,0,BEHIND,YELLOW,LONG ODDS
BI6503,Resident,5,4,4,posted_2026,2,2,2,2,29,30,0,projected_2026,1,2856,329,0.026,25,0,BEHIND,YELLOW,LONG ODDS
BI6503,Resident,4,4,4,posted_2026,2,2,2,2,29,30,0,projected_2026,1,3185,332,0.016,26,0,BEHIND,YELLOW,LONG ODDS
BI6503,Resident,3,4,4,posted_2026,2,2,2,2,29,30,0,projected_2026,1,3517,392,0.016,27,0,BEHIND,YELLOW,LONG ODDS
BI6503,Resident,2,4,4,posted_2026,2,2,2,2,29,30,0,projected_2026,1,3909,449,0.010,28,0,BEHIND,YELLOW,LONG ODDS
BI6503,Resident,1,4,4,posted_2026,2,2,2,2,29,30,0,projected_2026,1,4358,0,0.012,29,0,BEHIND,YELLOW,LONG ODDS
BI6503,Resident,0,4,4,posted_2026,2,2,2,2,29,30,0,projected_2026,1,4358,602,0.002,30,0,BEHIND,YELLOW,LONG ODDS
BI6503,Nonresident,32,2,2,posted_2026,1,1,1,1,30,30,0,projected_2026,0,0,0,0.000,-2,-1,MAX POOL,GREEN,GREEN LIGHT
BI6503,Nonresident,31,2,2,posted_2026,1,1,1,1,30,30,0,projected_2026,0,0,0,0.000,-1,-1,MAX POOL,GREEN,GREEN LIGHT
BI6503,Nonresident,30,2,2,posted_2026,1,1,1,1,30,30,0,projected_2026,0,0,1,0.082,0,-1,MAX POOL,GREEN,GREEN LIGHT
BI6503,Nonresident,29,2,2,posted_2026,1,1,1,1,30,30,0,projected_2026,0,1,3,0.088,1,-1,ON EDGE,GREEN,MAY DRAW IN 5-10 YEARS
BI6503,Nonresident,28,2,2,posted_2026,1,1,1,1,30,30,0,projected_2026,0,4,7,0.082,2,-1,BEHIND,GREEN,MAY DRAW IN 5-10 YEARS
BI6503,Nonresident,27,2,2,posted_2026,1,1,1,1,30,30,0,projected_2026,0,11,16,0.084,3,-1,BEHIND,GREEN,MAY DRAW IN 5-10 YEARS
BI6503,Nonresident,26,2,2,posted_2026,1,1,1,1,30,30,0,projected_2026,0,27,8,0.070,4,-1,BEHIND,GREEN,MAY DRAW IN 5-10 YEARS
BI6503,Nonresident,25,2,2,posted_2026,1,1,1,1,30,30,0,projected_2026,0,35,15,0.064,5,-1,BEHIND,GREEN,MAY DRAW IN 5-10 YEARS
